fold,model,Acc,F1,Prec,Rec,AUC
1,RF,89.17416622551615,78.192124984987,88.44832575988212,73.63481102501923,91.93829663748743
1,XGBoost,90.39174166225517,82.89641310988898,86.02448181696903,80.57059391080618,93.01371103684866
1,BiLSTM,90.47114875595554,83.72849236600123,85.03148046601818,82.59065217069853,92.73387132548649
1,LTN,90.65643197458974,84.25462186967347,85.04740006134837,83.52586946235287,93.12622915064766
1,NeSy-SMP,90.36527263102171,83.8828343686727,84.3917118660196,83.40170676347076,92.68604535103803
2,RF,88.61831656961355,77.39625770831941,86.26376558272617,73.23847925415508,90.95109459099781
2,XGBoost,89.70354685018528,81.82961048402501,84.45139839102416,79.8191485035784,92.81884907139055
2,BiLSTM,89.83589200635257,82.8229784718907,83.68952514237952,82.03600949310936,92.34026586620926
2,LTN,89.33298041291688,82.75803064302333,82.1423540614917,83.42444142958539,91.75480200508665
2,NeSy-SMP,89.96823716251984,83.13325108822808,83.81594781724883,82.50063767965932,92.26277392500147
3,RF,89.06539581678581,77.77559477208922,88.6763492019328,73.1314528296305,90.8079072123776
3,XGBoost,90.01853322742917,82.07887375208183,85.56901529967278,79.57566173860309,92.47695285921367
3,BiLSTM,89.91262907069103,81.95715341604743,85.24471285775687,79.56533073987517,91.52229461882081
3,LTN,89.14482393433943,82.14391137784428,82.07408972171137,82.21434210720942,90.69918905126764
3,NeSy-SMP,89.09187185597035,81.95820015619522,82.06449364444043,81.85328872437357,91.15782068159632
4,RF,89.6213926396611,79.4233243016974,88.77070162510181,74.95144199479336,92.12260191403129
4,XGBoost,90.12443738416734,82.35818732325421,85.6223936442005,79.96925661183919,93.38922395941188
4,BiLSTM,90.28329361927454,82.98158403634697,85.35208145314563,81.1071687424193,92.898004614975
4,LTN,90.12443738416734,82.57602807384498,85.25697852637875,80.51677643256517,92.49317738070584
4,NeSy-SMP,90.07148530579825,82.46102294756355,85.19078144078145,80.3747309780197,92.25748269384376
5,RF,89.38310828700027,78.58530202096681,89.10169450558413,73.92897357483064,91.60984232168742
5,XGBoost,90.38919777601271,82.61202556279584,86.56024133891023,79.8582041534775,92.67622326420731
5,BiLSTM,89.2772041302621,81.80966638360802,82.79799918822415,80.92689628139514,91.90082056326364
5,LTN,89.25072809107758,81.77523909672352,82.74110109369079,80.91062553619501,91.93872400378666
5,NeSy-SMP,88.72120730738682,81.2832051116213,81.4939198620961,81.07797847084579,92.08562294766736
