fold,model,Acc,F1,Prec,Rec,AUC
1,RF,87.02025586353945,70.73211830719436,85.96444165555468,66.49974186391526,88.90369892695998
1,XGBoost,88.4861407249467,77.81795787658578,83.16685613890037,74.63693015739582,90.74150310051185
1,BiLSTM,88.24626865671642,79.19193689944225,80.76842840403738,77.88191185756261,89.44108259778943
1,LTN,87.60660980810235,79.52747312708026,78.91771728715888,80.1931414489783,89.48613646090628
1,NeSy-SMP,88.27292110874201,78.77337990928592,81.20522882796301,76.92100268116067,89.39454133344081
2,RF,87.7132196162047,73.47333480254514,85.75416937891404,69.10691631976631,90.09054914853476
2,XGBoost,88.27292110874201,79.14813102645132,80.88928327061238,77.72573472822782,91.51399212732923
2,BiLSTM,87.76652452025586,77.78501005962248,80.26875090692016,75.9221887636913,90.16213633039884
2,LTN,87.04690831556503,77.92342634652823,78.18926661386992,77.6672942540251,89.46996697009652
2,NeSy-SMP,87.36673773987206,79.61175332813323,78.43512524627076,81.02392700794368,90.58206328460415
3,RF,87.52665245202559,73.22835702110402,84.97338722710536,68.97957266648997,88.4079447245164
3,XGBoost,88.03304904051173,77.53287120951354,81.54084584987913,74.91067864104052,89.27971160283855
3,BiLSTM,87.60660980810235,76.76404251961269,80.60123864474846,74.24877801671357,88.56212141762042
3,LTN,86.64712153518124,76.93068683583368,77.62360499554042,76.30191122547228,88.63530382681218
3,NeSy-SMP,86.59381663113007,76.49984316675888,77.64094850762847,75.52359929012584,88.4240477300753
4,RF,88.00639658848614,74.51319354334235,85.92680838835976,70.1329504396456,91.07270459084228
4,XGBoost,89.0724946695096,80.14365875469586,82.91085431399488,78.06938382520188,91.88983627173248
4,BiLSTM,88.59275053304904,79.51060925039872,81.72670416444281,77.77651041159953,90.6210536254048
4,LTN,87.15351812366737,78.47983835460602,78.28873683250038,78.67626584720261,89.61976778124068
4,NeSy-SMP,86.88699360341151,78.76984565106983,77.72400450437884,80.00509928509365,90.53905290364509
5,RF,87.23007198080512,71.51758701564074,86.05562641324202,67.20444119349516,89.16872330805849
5,XGBoost,88.69634764062917,78.76823442591262,82.9209065679926,76.03096049232683,90.89428623264574
5,BiLSTM,87.60330578512396,76.92012104327777,80.40648788053457,74.5592019943422,89.18552201254239
5,LTN,87.07011463609705,77.92888291990214,78.24666720323827,77.62484557190949,88.21359696740187
5,NeSy-SMP,86.16368968275127,77.42207691669822,76.57742956904902,78.39357828724249,88.53166843773008
