fold,model,Acc,F1,Prec,Rec,AUC
1,RF,88.48292295472598,76.03721753765981,88.29686463171865,71.36521516208535,90.82309203700842
1,XGBoost,89.46253640455389,80.79988658076778,84.84740326919098,78.05630854290239,92.1213203752669
1,BiLSTM,88.27111464124967,80.01072809476564,81.06958478730127,79.07982889577247,90.73854870519597
1,LTN,88.6417791898332,81.22409501065661,81.27580203352058,81.17272753354663,91.15372263678945
1,NeSy-SMP,88.88006354249404,81.78772668616853,81.55051002269806,82.03227454417402,91.4578380044257
2,RF,88.34745762711864,76.33976049248115,86.47061713836479,72.0135054227442,89.72783403492578
2,XGBoost,89.45974576271186,81.28029336734694,84.0681135051968,79.18188946165523,92.16000570912738
2,BiLSTM,87.65889830508475,80.43945245193837,79.32645236383554,81.75813318949298,91.21526561344386
2,LTN,88.77118644067797,80.46753267033739,82.29489435892351,78.9788261811684,91.01616443028284
2,NeSy-SMP,88.32097457627118,80.4381451564493,80.87883211957163,80.02134435120773,91.26948378737578
3,RF,88.77118644067797,76.95227565874332,88.34036094983786,72.3119131943014,91.09599091615635
3,XGBoost,88.82415254237289,80.17611039369804,82.86336013414994,78.15887375892171,91.48061003953583
3,BiLSTM,88.7447033898305,80.97587998113237,81.77548916637491,80.24932891855323,91.05372863915005
3,LTN,88.0031779661017,80.63685096166091,80.00344000907879,81.32963233670583,90.52010374393782
3,NeSy-SMP,88.05614406779661,80.84324003758512,80.03863134657836,81.74614489804515,90.82940991585039
4,RF,88.47987288135593,76.40940573262816,87.38501825808979,71.91352295656336,91.06539358307731
4,XGBoost,89.48622881355932,81.29240906382303,84.2207178875572,79.11417249026648,92.23892397372796
4,BiLSTM,88.53283898305084,80.70593738534988,81.34031165468292,80.11916295695218,91.14815913760886
4,LTN,89.00953389830508,80.82448216716244,82.84333322922197,79.2052701476032,91.51778047593898
4,NeSy-SMP,88.3739406779661,80.70018506196578,80.88971233215628,80.51521557695878,90.96540834941507
5,RF,88.47987288135593,76.0361873179528,88.29518903993203,71.36499285522184,90.41423974885193
5,XGBoost,89.45974576271186,81.1392209346455,84.3224204407967,78.82363669439559,92.60100013007337
5,BiLSTM,87.92372881355932,78.1979849302809,81.49371825715049,75.90522510795859,90.40933306608885
5,LTN,88.21504237288136,78.84529121024318,81.94696162046908,76.63273340650154,90.41183269693042
5,NeSy-SMP,87.07627118644068,79.15179250269726,78.53611119107035,79.82765508242069,90.13816940924004
