row_id,subject,predicate,object,evidence,판정,이유,src
Q01,Age,increasesRiskOf,Death,"1 Recommendations on timing of antibiotic administration 1189 broad-spectrum regimens including agents active against MRSA were associated with higher mortality, particularly among patients without MRSA [137, 151, 155, 156].",N,MRSA 광범위 항생제 요법과 사망률에 관한 문장으로 나이는 언급 없음,regex
Q02,MeanArterialPressure,increasesRiskOf,Death,Ninetyday mortality in the permissive hypotension and usual care groups was similar (41.0% vs 43.8%).,N,허용적 저혈압 중재 비교이며 사망률 차이 없음,regex
Q03,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 진단 가능성과 유의하게 연관됨을 직접 서술,oneshot_run1
Q04,KidneyDisease,increasesRiskOf,Death,"Tonelli M, Manns B, Feller‑Kopman D (2002) Acute renal failure in the intensive care unit: a systematic review of the impact of dialytic modal‑ ity on mortality and renal recovery.",N,참고문헌 제목이며 신질환의 사망 위험 증가 서술 아님,regex
Q05,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈증이 환자의 1/3~1/6을 사망케 한다고 직접 서술,fewshot_run1
Q06,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관성이 확립되었다고 직접 서술,zeroshot_run2
Q07,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈성 쇼크가 환자의 1/3~1/6을 사망케 한다고 직접 서술,oneshot_run1
Q08,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 진단 가능성과 유의하게 연관됨을 직접 서술,zeroshot_run2
Q09,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 직접 서술,zeroshot_run2
Q10,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 진단 가능성과 유의하게 연관됨을 직접 서술,oneshot_run2
Q11,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 서술,oneshot_run2
Q12,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관성이 확립되었다고 직접 서술,oneshot_run2
Q13,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 진단 가능성과 유의하게 연관됨을 직접 서술,fewshot_run1
Q14,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 고위험이라고 직접 서술,zeroshot_run2
Q15,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈증이 환자의 1/3~1/6을 사망케 한다고 직접 서술,oneshot_run1
Q16,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 고위험이라고 직접 서술,fewshot_run1
Q17,SepticShock,increasesRiskOf,Sepsis,"We recommend against using qSOFA compared to SIRS, NEWS, or MEWS as a single screening tool for sepsis or septic shock Strong recommendation, moderate-quality evidence Rationale The qSOFA uses 3 variables to predict death and pro - longed ICU stay in patients with known or suspected sepsis: a Glasgow Coma Score < 15, a respiratory rate ≥ 22 breaths/min and a systolic blood pressure ≤ 100 mmHg.",N,qSOFA 선별도구에 관한 문장으로 패혈성 쇼크가 패혈증 위험을 높인다는 서술 없음,regex
Q18,Hypotension,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,부분,저혈압은 패혈성 쇼크 정의의 구성요소일 뿐인 정의적 연결,zeroshot_run2
Q19,SepticShock,associatedWith,Sepsis,"The mortality reduction associated with early antimi - crobials appears strongest in patients with septic shock, where a number of studies have reported a strong asso - ciation between time-to-antibiotics and death in patients with septic shock but weaker associations in patients 1187 without septic shock [98, 109, 110].",N,항생제 투여 시점과 사망의 연관성에 관한 문장이며 두 개념 관계 서술 아님,regex
Q20,Sepsis,causedBy,Pneumonia,Acute hypoxemic respiratory failure can result from causes of sepsis such as pneumonia or non-pulmonary infections resulting in ARDS.,Y,폐렴을 패혈증의 원인으로 직접 서술,zeroshot_run2
Q21,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관성이 확립되었다고 직접 서술,fewshot_run1
Q22,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관성이 확립되었다고 직접 서술,zeroshot_run1
Q23,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 서술,zeroshot_run1
Q24,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈성 쇼크가 환자의 1/3~1/6을 사망케 한다고 직접 서술,oneshot_run2
Q25,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈성 쇼크가 환자의 1/3~1/6을 사망케 한다고 직접 서술,zeroshot_run1
Q26,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 고위험이라고 직접 서술,zeroshot_run1
Q27,SepticShock,associatedWith,Death,"Despite some inconsistency, a meta-analysis of 50 observational studies on the effect of performance improvement programmes showed that these programmes were associated with bet - ter adherence to sepsis bundles along with a reduction in mortality (OR 0.66; 95% CI 0.61–0.72) in patients with sepsis and septic shock [27].",N,성과개선 프로그램의 사망률 감소 효과에 관한 문장,regex
Q28,Sepsis,associatedWith,Death,"Delayed admissions of critically ill patients from ED are associated with decreased sepsis bundle compliance and increased mortality, ventilator duration, and ICU and hospital length of stay [84].",N,응급실 입원 지연과 사망률 연관에 관한 문장으로 패혈증 자체의 관계 아님,regex
Q29,Hypotension,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,부분,저혈압은 패혈성 쇼크 정의의 구성요소일 뿐인 정의적 연결,fewshot_run1
Q30,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 서술,fewshot_run1
Q31,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 서술,oneshot_run1
Q32,MeanArterialPressure,associatedWith,Death,"Delay in vasopressor initiation and achieving MAP of 65 is associated with increased mortality [390, 391].",N,승압제 시작 및 MAP 목표 도달 지연(시점 효과)과 사망의 연관,zeroshot_run1
Q33,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",부분,젖산 상승이 패혈성 쇼크 정의의 일부라는 정의적 연결,zeroshot_run2
Q34,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 직접 서술,regex
Q35,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈증이 환자의 1/3~1/6을 사망케 한다고 직접 서술,zeroshot_run1
Q36,HIV,associatedWith,Death,"Recent data emerging from Africa showed that higher volume fluid resuscitation in adults was associated with 1212 increased mortality, but the generalizability of these data is limited due to the high prevalence of HIV/AIDS and malnutrition in the patients enrolled and the resource-scarce conditions with limited access to ICUs [69].",N,고용량 수액과 사망 연관이며 HIV는 일반화 제한 요인으로만 언급,regex
Q37,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",부분,젖산 상승이 패혈성 쇼크 정의의 일부라는 정의적 연결,oneshot_run1
Q38,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 고위험이라고 직접 서술,oneshot_run1
Q39,Sepsis,causedBy,Pneumonia,Acute hypoxemic respiratory failure can result from causes of sepsis such as pneumonia or non-pulmonary infections resulting in ARDS.,Y,폐렴을 패혈증의 원인으로 직접 서술,fewshot_run1
Q40,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관성이 확립되었다고 직접 서술,oneshot_run1
Q41,Lactate,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,부분,젖산 증가가 패혈성 쇼크 정의에 포함된다는 정의적 연결,oneshot_run2
Q42,Sepsis,increasesRiskOf,Death,"A large study examined the association between implementation of state-mandated sepsis protocols, compliance, and mortality.",N,주 의무 프로토콜 시행과 사망률 연관을 조사한 연구 소개일 뿐,regex
Q43,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 직접 서술,zeroshot_run1
Q44,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 직접 서술,oneshot_run1
Q45,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 서술,zeroshot_run2
Q46,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",부분,젖산 상승이 패혈성 쇼크 정의의 일부라는 정의적 연결,fewshot_run1
Q47,Sepsis,causedBy,Pneumonia,Acute hypoxemic respiratory failure can result from causes of sepsis such as pneumonia or non-pulmonary infections resulting in ARDS.,Y,폐렴을 패혈증의 원인으로 직접 서술,oneshot_run1
Q48,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈증이 환자의 1/3~1/6을 사망케 한다고 직접 서술,oneshot_run2
Q49,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈성 쇼크가 환자의 1/3~1/6을 사망케 한다고 직접 서술,fewshot_run1
Q50,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 직접 서술,fewshot_run1
Q51,Hypotension,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,부분,저혈압은 패혈성 쇼크 정의의 구성요소일 뿐인 정의적 연결,zeroshot_run1
Q52,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",부분,젖산 상승이 패혈성 쇼크 정의의 일부라는 정의적 연결,zeroshot_run1
Q53,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 진단 가능성과 유의하게 연관됨을 직접 서술,zeroshot_run1
Q54,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 직접 서술,oneshot_run2
Q55,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 고위험이라고 직접 서술,oneshot_run2
Q56,Lactate,increasesRiskOf,Death,"For adults suspected of having sepsis, we suggest measuring blood lactate Weak recommendation, low-quality evidence Rationale The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",부분,연관성만 서술되어 위험 증가 방향성은 과장,regex
Q57,Pneumonia,increasesRiskOf,Death,"While there appears to be no overall effect of neu - raminidase inhibitors on mortality in patients with influ - enza-related pneumonia, there may be an effect when administered early in the course of the disease [225].",N,뉴라미니다제 억제제 효과에 관한 문장으로 폐렴의 사망 위험 서술 없음,regex
