row_id,src
Q01,regex
Q02,regex
Q03,oneshot_run1
Q04,regex
Q05,fewshot_run1
Q06,zeroshot_run2
Q07,oneshot_run1
Q08,zeroshot_run2
Q09,zeroshot_run2
Q10,oneshot_run2
Q11,oneshot_run2
Q12,oneshot_run2
Q13,fewshot_run1
Q14,zeroshot_run2
Q15,oneshot_run1
Q16,fewshot_run1
Q17,regex
Q18,zeroshot_run2
Q19,regex
Q20,zeroshot_run2
Q21,fewshot_run1
Q22,zeroshot_run1
Q23,zeroshot_run1
Q24,oneshot_run2
Q25,zeroshot_run1
Q26,zeroshot_run1
Q27,regex
Q28,regex
Q29,fewshot_run1
Q30,fewshot_run1
Q31,oneshot_run1
Q32,zeroshot_run1
Q33,zeroshot_run2
Q34,regex
Q35,zeroshot_run1
Q36,regex
Q37,oneshot_run1
Q38,oneshot_run1
Q39,fewshot_run1
Q40,oneshot_run1
Q41,oneshot_run2
Q42,regex
Q43,zeroshot_run1
Q44,oneshot_run1
Q45,zeroshot_run2
Q46,fewshot_run1
Q47,oneshot_run1
Q48,oneshot_run2
Q49,fewshot_run1
Q50,fewshot_run1
Q51,zeroshot_run1
Q52,zeroshot_run1
Q53,zeroshot_run1
Q54,oneshot_run2
Q55,oneshot_run2
Q56,regex
Q57,regex
